"Reference";"National reference";"Country/Territory";"Typ";"Disease name";"Disease type";"Epidemiological unit";"Submitted on";"Modified on";"Administrative division level 1";"Administrative division level 2";"Administrative division level 3";"Outbreak occurring inside an already restricted zone";"Latitude";"Longitude";"Approximate location";"Location";"Wildlife type 1";"Production Type 1";"Water type 1";"Production system 1";"Measuring unit 1";"Susceptible 1";"Cases 1";"Dead 1";"Killed 1";"Slaughtered 1";"Vaccinated 1";"Outbreak year";"Suspicion/Start date";"Confirmation date";"End date";"Status Continuing/Resolved";"Suspicion";"Clinical signs";"Diagnostic tests";"Necropsy";"Category 1";"Subcategory 1";"Test name 1";"Test type 1";"Laboratory type 1";"Species 1";"Result date 1";"Result type 1";"Pertinence"
"DE-HPAI(NON-P)-2026-35lb4";"26-015-v9e9y";"Deutschland";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Not applicable";"2026-04-21";"2026-04-21";"Hamburg";"Hamburg";"Hamburg";"true";"53,5700000000000";"10,010000000000000";"true";"Hamburg";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";"0";"0";"0";"2026";"2026-04-08";"2026-04-20";"2026-04-20";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Polymerase chain reaction (PCR)";"Laboratory";"Private Laboratory";"Anser anser";"2026-04-17";"Positive";"EU and WOAH"
"DE-HPAI(NON-P)-2026-gt2b5";"26-0015-71va1";"Deutschland";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Not applicable";"2026-04-21";"2026-04-21";"Hamburg";"Hamburg";"Hamburg";"true";"53,5700000000000";"10,010000000000000";"true";"Hamburg";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";"0";"0";"0";"2026";"2026-04-08";"2026-04-20";"2026-04-20";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Polymerase chain reaction (PCR)";"Laboratory";"Private Laboratory";"Anser anser";"2026-04-17";"Positive";"EU and WOAH"
"DE-ND.NON-P-2026-0cj99";"26-013-hk54b";"Deutschland";"Primary";"Newcastle disease virus in non-poultry for AHL";NaN;NaN;"2026-04-20";"2026-04-20";"Brandenburg";"Prignitz";"Perleberg";"false";NaN;NaN;NaN;NaN;"Captive";NaN;NaN;NaN;"Tiere";"113";"1";"1";"0";NaN;NaN;"2026";"2026-04-16";"2026-04-20";"N/A";"Continuing";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Private Laboratory";"Columbidae (incognita)";"2026-04-17";"Positive";"EU"
"DE-ND.NON-P-2026-lmuzs";"26-013-wbp4b";"Deutschland";"Primary";"Newcastle disease virus in non-poultry for AHL";NaN;NaN;"2026-04-20";"2026-04-20";"Brandenburg";"Prignitz";"Perleberg";"false";NaN;NaN;NaN;NaN;"Captive";NaN;NaN;NaN;"Tiere";"100";"28";"2";"24";NaN;NaN;"2026";"2026-04-16";"2026-04-20";"N/A";"Continuing";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Private Laboratory";"Columbidae (incognita)";"2026-04-17";"Positive";"EU"
"DE-ND.NON-P-2026-lh5vs";"26-013-obznt";"Deutschland";"Primary";"Newcastle disease virus in non-poultry for AHL";NaN;NaN;"2026-04-20";"2026-04-20";"Brandenburg";"Prignitz";"Bad Wilsnack/Weisen";"false";NaN;NaN;NaN;NaN;"Captive";NaN;NaN;NaN;"Tiere";"135";"38";"38";"23";NaN;NaN;"2026";"2026-04-16";"2026-04-20";"N/A";"Continuing";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Private Laboratory";"Columbidae (incognita)";"2026-04-17";"Positive";"EU"
"FI-HPAI(NON-P)-2026-fdndo";"1467-r5rh0";"Finnland";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Not applicable";"2026-04-20";"2026-04-20";"Etelä-Suomen aluehallintovirasto";"Uusimaa";"Kirkkonummi";"false";"60,1537308652917";"24,617975129401760";"false";"Kirkkonummi";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";NaN;NaN;NaN;"2026";"2026-04-08";"2026-04-20";"2026-04-20";"Resolved";"false";"true";"true";"false";"Pathogen detection";"Genotyping";"Gene sequencing";"Laboratory";"National Reference Laboratory";"Larus argentatus";"2026-04-20";"Positive";"EU and WOAH"
"DE-HPAI(P)-2026-qryad";"26-015-4x48f";"Deutschland";"Primary";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"Farm";"2026-04-20";"2026-04-22";"Bayern";"Schwandorf";"Oberviechtach";"false";"49,4500000000000";"12,420000000000000";"true";"Oberviechtach";NaN;"Poultry";NaN;NaN;"Tiere";"188";"51";"51";"137";"0";"0";"2026";"2026-04-16";"2026-04-20";NaN;"Continuing";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Private Laboratory";"Birds";"2026-04-18";"Positive";"EU and WOAH"
"AT-HPAI(NON-P)-2026-7d09q";"TKH-2026-qpf9u";"Österreich";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Not applicable";"2026-04-20";"2026-04-20";"Niederösterreich";"Tulln";"Klosterneuburg";"false";"48,2945290000000";"16,342893000000000";"true";"Tulln";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";NaN;NaN;NaN;"2026";"2026-04-13";"2026-04-20";"2026-04-20";"Resolved";"false";"true";"true";"true";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"National Reference Laboratory";"Cygnus olor";"2026-04-20";"Positive";"EU and WOAH"
"AT-HPAI(NON-P)-2026-tvac6";"TKH-2026-ld2nr";"Österreich";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Not applicable";"2026-04-20";"2026-04-20";"Niederösterreich";"Tulln";"Klosterneuburg";"false";"48,2907570000000";"16,345824000000000";"true";"Tulln";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";NaN;NaN;NaN;"2026";"2026-04-10";"2026-04-20";"2026-04-20";"Resolved";"false";"true";"true";"true";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"National Reference Laboratory";"Cygnus olor";"2026-04-20";"Positive";"EU and WOAH"
"AT-HPAI(NON-P)-2026-utnm0";"TKH-2026-34o1z";"Österreich";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Not applicable";"2026-04-20";"2026-04-20";"Wien";"Wien";"Wien";"false";"48,2796200000000";"16,359311999999999";"true";"Wien";"Wild";NaN;NaN;NaN;"Tiere";NaN;"2";"2";NaN;NaN;NaN;"2026";"2026-04-15";"2026-04-20";"2026-04-20";"Resolved";"false";"true";"true";"true";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"National Reference Laboratory";"Cygnus olor";"2026-04-20";"Positive";"EU and WOAH"
"DE-HPAI(NON-P)-2026-tbxln";"26-015-q9uqo";"Deutschland";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Not applicable";"2026-04-20";"2026-04-20";"Nordrhein-Westfalen";"Kleve";"Kevelaer";"true";"51,5800000000000";"6,260000000000000";"true";"Kevelaer";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";"0";"0";"0";"2026";"2026-04-10";"2026-04-20";"2026-04-20";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Private Laboratory";"Branta canadensis";"2026-04-17";"Positive";"EU and WOAH"
"DE-ASF-2026-fj27m";"26-011-gxrrb";"Deutschland";"Primary";"A.S.F. in wild boar";NaN;"Forest";"2026-05-19";"2026-05-19";"Nordrhein-Westfalen";"Olpe";"Kirchhundem";"true";"51,0100000000000";"8,069000000000001";"true";"Kirchhundem";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";"0";"0";"0";"2026";"2026-04-20";"2026-04-21";NaN;"Continuing";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Polymerase chain reaction (PCR)";"Laboratory";"Regional Reference Laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
"DE-ASF-2026-snk52";"26-011-uu8a5";"Deutschland";"Primary";"A.S.F. in wild boar";NaN;"Forest";"2026-05-19";"2026-05-19";"Nordrhein-Westfalen";"Olpe";"Kirchhundem";"true";"51,0100000000000";"8,070000000000000";"true";"Kirchhundem";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";"0";"0";"0";"2026";"2026-04-20";"2026-04-21";NaN;"Continuing";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Polymerase chain reaction (PCR)";"Laboratory";"Regional Reference Laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
"DE-ASF-2026-a3352";"26-011-p5xx0";"Deutschland";"Primary";"A.S.F. in wild boar";NaN;"Forest";"2026-05-19";"2026-05-19";"Nordrhein-Westfalen";"Olpe";"Kirchhundem";"true";"50,9906434467621";"8,051526409406215";"false";"Kirchhundem";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";"0";"0";"0";"2026";"2026-04-20";"2026-04-21";NaN;"Continuing";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Polymerase chain reaction (PCR)";"Laboratory";"Regional Reference Laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
"DE-ASF-2026-5smoy";"26-011-56noh";"Deutschland";"Primary";"A.S.F. in wild boar";NaN;"Forest";"2026-05-19";"2026-05-19";"Nordrhein-Westfalen";"Olpe";"Kirchhundem";"true";"51,0500000000000";"8,070000000000000";"true";"Kirchhundem";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";"0";"0";"0";"2026";"2026-04-20";"2026-04-21";NaN;"Continuing";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Polymerase chain reaction (PCR)";"Laboratory";"Regional Reference Laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
"FR-MTBC-2026-90vu7";"2026-7c5mz";"Frankreich";"Primary";"Mycobacterium tuberculosis complex (Inf. with)(2019-)";NaN;NaN;"2026-05-17";"2026-05-17";"Calvados";NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;"Tiere";"261";"1";NaN;NaN;NaN;NaN;"2026";"2026-03-13";"2026-04-21";"N/A";"Continuing";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time RT-PCR";"Laboratory";"Regional Reference Laboratory";"Cattle";"2026-04-10";"Positive";"EU"
"PL-ASF-2026-nxw1d";"2026/1139-7zqem";"Polen";"Secondary";"A.S.F. in wild boar";NaN;"Not applicable";"2026-05-12";"2026-05-12";"Lubuskie";"Strzelce-Drezdenko";"Strzelce Krajeńskie";"true";"52,9626541343751";"15,607332188118905";"false";"Strzelce Krajeńskie";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";NaN;NaN;NaN;"2026";"2026-04-16";"2026-04-21";"2026-04-21";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Local laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
"IT-ASF-2026-ltt2o";"ASF_WB_2026_0525-hbjgb";"Italien";"Secondary";"A.S.F. in wild boar";NaN;"Natural park";"2026-04-29";"2026-04-29";"Liguria";"Savona";"Piana Crixia";"true";"44,5173511284583";"8,248669795722217";"false";"Piana Crixia";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"0";"1";"0";NaN;"2026";"2026-04-18";"2026-04-21";NaN;"Continuing";"false";"true";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"WOAH Reference Laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
"IT-ASF-2026-sxa6w";"ASF_WB_2026_0524-tetpr";"Italien";"Secondary";"A.S.F. in wild boar";NaN;"Natural park";"2026-04-29";"2026-04-29";"Liguria";"Savona";"Piana Crixia";"true";"44,5351345529084";"8,255967182781935";"false";"Piana Crixia";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"0";"1";"0";NaN;"2026";"2026-04-18";"2026-04-21";NaN;"Continuing";"false";"true";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"WOAH Reference Laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
"IT-ASF-2026-5zdjz";"ASF_WB_2026_0523-vsuut";"Italien";"Secondary";"A.S.F. in wild boar";NaN;"Natural park";"2026-04-29";"2026-04-29";"Liguria";"Savona";"Piana Crixia";"true";"44,5250824963585";"8,253286522522790";"false";"Piana Crixia";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";"0";"0";NaN;"2026";"2026-04-18";"2026-04-21";NaN;"Continuing";"false";"true";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"WOAH Reference Laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
"TR-RABIES-2026-kkqn2";NaN;"Türkei";"Primary";"Rabies virus (Inf. with)";"RABV";"Village";"2026-04-28";"2026-05-12";"MERSİN";"ERDEMLİ";NaN;NaN;"36,6300000000000";"34,289999999999999";"true";"Kösbucağı";NaN;NaN;NaN;NaN;"Tiere";NaN;"9";"1";"8";NaN;NaN;"2026";"2026-04-20";"2026-04-21";"2026-05-05";"Resolved";"false";"true";"true";"false";NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;"EU and WOAH"
"PL-ASF-2026-rei4w";"2026/1047-1gl6f";"Polen";"Secondary";"A.S.F. in wild boar";NaN;"Not applicable";"2026-04-27";"2026-04-27";"Świętokrzyskie";"Starachowice";"Brody";"true";"50,9795357258689";"21,295883029818949";"false";"Brody";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";NaN;NaN;NaN;"2026";"2026-04-16";"2026-04-21";"2026-04-21";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Local laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
"PL-ASF-2026-hleas";"2026/1046-rbh57";"Polen";"Secondary";"A.S.F. in wild boar";NaN;"Not applicable";"2026-04-27";"2026-04-27";"Świętokrzyskie";"Opatów";"Tarłów";"true";"50,9730447347299";"21,647008758893950";"false";"Tarłów";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";NaN;NaN;NaN;"2026";"2026-04-17";"2026-04-21";"2026-04-21";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Local laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
"PL-ASF-2026-p47fq";"2026/1033-797y3";"Polen";"Secondary";"A.S.F. in wild boar";NaN;"Not applicable";"2026-04-27";"2026-04-27";"Kujawsko-Pomorskie";"Grudziądz";"Gruta";"true";"53,4316173833002";"18,911991193272129";"false";"Gruta";"Wild";NaN;NaN;NaN;"Tiere";NaN;"9";"9";NaN;NaN;NaN;"2026";"2026-04-14";"2026-04-21";"2026-04-21";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Local laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
"PL-ASF-2026-9s0vk";"2026/1032-o90ns";"Polen";"Secondary";"A.S.F. in wild boar";NaN;"Not applicable";"2026-04-27";"2026-04-27";"Kujawsko-Pomorskie";"Grudziądz";"Grudziądz (rural)";"true";"53,4294644994824";"18,741936088676095";"false";"Grudziądz (rural)";"Wild";NaN;NaN;NaN;"Tiere";NaN;"2";"2";NaN;NaN;NaN;"2026";"2026-04-13";"2026-04-21";"2026-04-21";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Local laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
"PL-ASF-2026-phzkv";"2026/1031-9t4u4";"Polen";"Secondary";"A.S.F. in wild boar";NaN;"Not applicable";"2026-04-27";"2026-04-27";"Kujawsko-Pomorskie";"Grudziądz";"Gruta";"true";"53,4262040868633";"18,885609875205862";"false";"Gruta";"Wild";NaN;NaN;NaN;"Tiere";NaN;"5";"5";NaN;NaN;NaN;"2026";"2026-04-13";"2026-04-21";"2026-04-21";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Local laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
"PL-ASF-2026-gq0ts";"2026/1030-08sac";"Polen";"Secondary";"A.S.F. in wild boar";NaN;"Not applicable";"2026-04-27";"2026-04-27";"Kujawsko-Pomorskie";"Grudziądz";"Radzyń Chełmiński";"true";"53,3946848539896";"18,807849486539379";"false";"Radzyń Chełmiński";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";NaN;NaN;NaN;"2026";"2026-04-13";"2026-04-21";"2026-04-21";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Local laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
"PL-ASF-2026-sn6ps";"2026/1029-strvg";"Polen";"Secondary";"A.S.F. in wild boar";NaN;"Not applicable";"2026-04-27";"2026-04-27";"Kujawsko-Pomorskie";"Grudziądz";"Gruta";"true";"53,4671743200099";"18,901523340543598";"false";"Gruta";"Wild";NaN;NaN;NaN;"Tiere";NaN;"37";"37";NaN;NaN;NaN;"2026";"2026-04-12";"2026-04-21";"2026-04-21";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Local laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
"PL-ASF-2026-6dezv";"2026/1028-0frah";"Polen";"Secondary";"A.S.F. in wild boar";NaN;"Not applicable";"2026-04-27";"2026-04-27";"Kujawsko-Pomorskie";"Grudziądz (City)";"Grudziądz";"true";"53,4694922397839";"18,764435097861021";"false";"Grudziądz";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";NaN;NaN;NaN;"2026";"2026-04-10";"2026-04-21";"2026-04-21";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Local laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
"PL-ASF-2026-hr4xc";"2026/1027-myom7";"Polen";"Secondary";"A.S.F. in wild boar";NaN;"Not applicable";"2026-04-27";"2026-04-27";"Kujawsko-Pomorskie";"Grudziądz (City)";"Grudziądz";"true";"53,4568478713730";"18,763948695266635";"false";"Grudziądz";"Wild";NaN;NaN;NaN;"Tiere";NaN;"3";"3";NaN;NaN;NaN;"2026";"2026-04-10";"2026-04-21";"2026-04-21";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Local laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
"PL-ASF-2026-r9fw4";"2026/1026-kts67";"Polen";"Secondary";"A.S.F. in wild boar";NaN;"Not applicable";"2026-04-27";"2026-04-27";"Kujawsko-Pomorskie";"Grudziądz";"Grudziądz (rural)";"true";"53,4040822985351";"18,781951727836013";"false";"Grudziądz (rural)";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";NaN;NaN;NaN;"2026";"2026-04-09";"2026-04-21";"2026-04-21";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Local laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
"PL-ASF-2026-bdgvk";"2026/1025-jjncx";"Polen";"Secondary";"A.S.F. in wild boar";NaN;"Not applicable";"2026-04-27";"2026-04-27";"Kujawsko-Pomorskie";"Grudziądz";"Grudziądz (rural)";"true";"53,4172889818284";"18,791452762257993";"false";"Grudziądz (rural)";"Wild";NaN;NaN;NaN;"Tiere";NaN;"2";"2";NaN;NaN;NaN;"2026";"2026-04-09";"2026-04-21";"2026-04-21";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Local laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
"PL-ASF-2026-y0rrr";"2026/1024-exfr7";"Polen";"Secondary";"A.S.F. in wild boar";NaN;"Not applicable";"2026-04-27";"2026-04-27";"Kujawsko-Pomorskie";"Grudziądz";"Grudziądz (rural)";"true";"53,4099285820042";"18,783699064434021";"false";"Grudziądz (rural)";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";NaN;NaN;NaN;"2026";"2026-04-08";"2026-04-21";"2026-04-21";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Local laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
"PL-ASF-2026-nesth";"2026/1023-e89iq";"Polen";"Secondary";"A.S.F. in wild boar";NaN;"Not applicable";"2026-04-27";"2026-04-27";"Kujawsko-Pomorskie";"Grudziądz";"Grudziądz (rural)";"true";"53,4144904640514";"18,790171604629382";"false";"Grudziądz (rural)";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";NaN;NaN;NaN;"2026";"2026-04-08";"2026-04-21";"2026-04-21";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Local laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
"PL-ASF-2026-xfa3n";"2026/997-5ar07";"Polen";"Secondary";"A.S.F. in wild boar";NaN;"Not applicable";"2026-04-27";"2026-04-27";"Zachodniopomorskie";"Gryfice";"Gryfice";"true";"53,9416078653219";"15,196645075144843";"false";"Gryfice";"Wild";NaN;NaN;NaN;"Tiere";NaN;"3";"3";NaN;NaN;NaN;"2026";"2026-04-15";"2026-04-21";"2026-04-21";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Local laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
"PL-ASF-2026-h8o7b";"2026/996-gc668";"Polen";"Secondary";"A.S.F. in wild boar";NaN;"Not applicable";"2026-04-27";"2026-04-27";"Zachodniopomorskie";"Gryfice";"Trzebiatów";"true";"54,0019851171651";"15,256779177873328";"false";"Trzebiatów";"Wild";NaN;NaN;NaN;"Tiere";NaN;"7";"7";NaN;NaN;NaN;"2026";"2026-04-15";"2026-04-21";"2026-04-21";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Local laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
"CY-FMD-2026-1cd0k";NaN;"Zypern";"Secondary";"Foot and mouth disease virus (Inf. with)";"SAT 1";"Farm";"2026-04-23";"2026-04-30";"Larnaca";NaN;NaN;"true";"34,9655680000000";"33,594366999999998";"true";"Larnaca";NaN;NaN;NaN;NaN;"Tiere";"675";"27";NaN;"675";NaN;NaN;"2026";"2026-04-20";"2026-04-21";"2026-04-29";"Resolved";"false";"false";"true";"false";NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;"EU and WOAH"
"CY-FMD-2026-d6j7i";NaN;"Zypern";"Secondary";"Foot and mouth disease virus (Inf. with)";"SAT 1";"Farm";"2026-04-23";"2026-04-30";"Nicosia";NaN;NaN;"true";"35,1514080000000";"33,252209000000001";"true";"Nicosia";NaN;NaN;NaN;NaN;"Tiere";"505";"10";NaN;"505";NaN;NaN;"2026";"2026-04-20";"2026-04-21";"2026-04-27";"Resolved";"false";"false";"true";"false";NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;"EU and WOAH"
"LV-ASF-2026-eu042";NaN;"Lettland";"Secondary";"A.S.F. in wild boar";NaN;"Forest";"2026-04-23";"2026-04-23";"Saldus";"Pampāļu pagasts";NaN;"true";"56,5336291047709";"22,041815741756828";"false";"Pampāļu pagasts";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"0";"1";NaN;NaN;"2026";"2026-04-19";"2026-04-21";"2026-04-21";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"National Reference Laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
"LV-ASF-2026-ryzcc";NaN;"Lettland";"Secondary";"A.S.F. in wild boar";NaN;"Forest";"2026-04-23";"2026-04-23";"Tukuma";"Sēmes pagasts";NaN;"true";"57,0726382140250";"23,075382485161615";"false";"Sēmes pagasts";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"0";"1";NaN;NaN;"2026";"2026-04-17";"2026-04-21";"2026-04-21";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"National Reference Laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
"LV-ASF-2026-7hhay";NaN;"Lettland";"Secondary";"A.S.F. in wild boar";NaN;"Forest";"2026-04-23";"2026-04-23";"Tukuma";"Lestenes pagasts";NaN;"true";"56,7669394771936";"23,102064246907652";"false";"Lestenes pagasts";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"0";"1";NaN;NaN;"2026";"2026-04-18";"2026-04-21";"2026-04-21";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"National Reference Laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
"LV-ASF-2026-380d4";NaN;"Lettland";"Secondary";"A.S.F. in wild boar";NaN;"Forest";"2026-04-23";"2026-04-23";"Talsu";"Valdgales pagasts";NaN;"true";"57,2767918970706";"22,552382903717234";"false";"Valdgales pagasts";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"0";"1";NaN;NaN;"2026";"2026-04-17";"2026-04-21";"2026-04-21";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"National Reference Laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
"LV-ASF-2026-0cxvz";NaN;"Lettland";"Secondary";"A.S.F. in wild boar";NaN;"Forest";"2026-04-23";"2026-04-23";"Tukuma";"Slampes pagasts";NaN;"true";"56,8628765271426";"23,220407992290006";"false";"Slampes pagasts";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"0";"1";NaN;NaN;"2026";"2026-04-18";"2026-04-21";"2026-04-21";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"National Reference Laboratory";"Sus scrofa";"2026-04-21";"Positive";"EU and WOAH"
