"country";"eventId";"reportId";"disease";"subType";"eventStartDate";"reason";"reportStatus";"submissionDate";"reportNumber"
"Ukraine";"4493-41sji";"157343-1ty6n";"African swine fever virus (Inf. with)";NaN;"14.6.2022";"Recurrence of an eradicated disease";"Validated";"7.10.2022";"FUR_5"
"Russia";"4593-i1rf3";"157363-32fe0";"African swine fever virus (Inf. with)";NaN;"23.8.2022";"Recurrence of an eradicated disease";"Validated";"6.10.2022";"FUR_1"
"Russia";"4590-9yr9k";"157362-zez1f";"African swine fever virus (Inf. with)";NaN;"19.8.2022";"Recurrence of an eradicated disease";"Validated";"6.10.2022";"FUR_1"
"Russia";"4573-ddf9f";"157361-gelkb";"African swine fever virus (Inf. with)";NaN;"31.7.2022";"Recurrence of an eradicated disease";"Validated";"6.10.2022";"FUR_1"
"Russia";"4547-7xk6r";"157358-t1kev";"African swine fever virus (Inf. with)";NaN;"15.7.2022";"Recurrence of an eradicated disease";"Validated";"6.10.2022";"FUR_1"
"Greece";"2956-siq6f";"157283-9i7iy";"West Nile Fever";NaN;"9.7.2019";"Recurrence of an eradicated disease";"Validated";"5.10.2022";"FUR_5"
"Italy";"4060-dt9z7";"157302-lip4y";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"28.10.2021";"Recurrence of an eradicated disease";"Validated";"4.10.2022";"FUR_20"
"Sweden";"4048-sjayy";"157240-57ulf";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"26.10.2021";"Recurrence of an eradicated disease";"Validated";"30.9.2022";"FUR_39"
"Russia";"4562-po8av";"157224-pj5v6";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"22.7.2022";"First occurrence in a zone or a compartment";"Validated";"28.9.2022";"FUR_1"
"Croatia";"4486-fhai2";"157178-h9k7n";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"25.5.2022";"Recurrence of an eradicated strain";"Validated";"27.9.2022";"FUR_1"
"Russia";"4577-51qan";"157146-f6bba";"African swine fever virus (Inf. with)";NaN;"3.8.2022";"Recurrence of an eradicated disease";"Validated";"22.9.2022";"FUR_2"
"Russia";"4513-bnnnv";"157145-onok5";"African swine fever virus (Inf. with)";NaN;"24.6.2022";"Recurrence of an eradicated disease";"Validated";"22.9.2022";"FUR_3"
"Russia";"4548-20g32";"157143-9ltfp";"African swine fever virus (Inf. with)";NaN;"17.7.2022";"Recurrence of an eradicated disease";"Validated";"22.9.2022";"FUR_1"
"Russia";"4494-mp41c";"157126-fhej3";"African swine fever virus (Inf. with)";NaN;"9.6.2022";"Recurrence of an eradicated disease";"Validated";"22.9.2022";"FUR_3"
"Russia";"4554-s8ym5";"157122-03gp7";"Lumpy skin disease virus (Inf. with)";NaN;"12.7.2022";"First occurrence in a zone or a compartment";"Validated";"22.9.2022";"FUR_1"
"Romania";"4557-4zuj6";"157116-ojx0w";"Anthrax";NaN;"26.7.2022";"Recurrence of an eradicated disease";"Validated";"21.9.2022";"FUR_2"
"Poland";"4535-k0twd";"157061-pj874";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"18.7.2022";"Recurrence of an eradicated disease";"Validated";"19.9.2022";"FUR_3"
"Moldova";"4569-rkx0w";"157073-e5651";"African swine fever virus (Inf. with)";NaN;"2.8.2022";"First occurrence in a zone or a compartment";"Validated";"19.9.2022";"FUR_6"
"Moldova";"4565-ehkd7";"156993-nm9pn";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"31.7.2022";"First occurrence in a zone or a compartment";"Validated";"13.9.2022";"FUR_6"
"Italy";"3664-tj0tc";"156963-8hols";"SARS-CoV-2 in animals (Inf. with)";NaN;"18.3.2021";"Emerging disease";"Validated";"9.9.2022";"FUR_1"
"Italy";"3070-db2vw";"156962-o85wa";"Viral haemorrhagic septicaemia virus (Inf. with)";NaN;"18.11.2019";"Recurrence";"Validated";"9.9.2022";"FUR_1"
"Italy";"3071-zq5sl";"156960-23bzu";"Infectious haematopoietic necrosis virus (Inf. with)";NaN;"18.11.2019";"Recurrence";"Validated";"9.9.2022";"FUR_1"
"Italy";"3711-o1a53";"156952-h1kzw";"Infectious haematopoietic necrosis virus (Inf. with)";NaN;"24.2.2021";"Recurrence";"Validated";"8.9.2022";"FUR_1"
"Italy";"3710-d7nvs";"156951-3x202";"Viral haemorrhagic septicaemia virus (Inf. with)";NaN;"24.2.2021";"Recurrence";"Validated";"8.9.2022";"FUR_1"
"Italy";"3640-zhnsh";"156950-9085i";"Viral haemorrhagic septicaemia virus (Inf. with)";NaN;"18.3.2021";"Recurrence";"Validated";"8.9.2022";"FUR_2"
"Bulgaria";"2941-usnki";"156893-g28d7";"Peste des petits ruminants virus (Inf. with)";NaN;"23.6.2018";"First occurrence in the country";"Validated";"5.9.2022";"FUR_9"
"Bulgaria";"4489-l9aa1";"156833-1grq5";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5 (N untyped)";"9.6.2022";"Recurrence of an eradicated disease";"Validated";"31.8.2022";"FUR_1"
"Austria";"4492-x1ona";"156816-sltb4";"Infectious bovine rhinotracheitis/infectious pustular vulvovaginitis";NaN;"3.6.2022";"Recurrence of an eradicated disease";"Validated";"30.8.2022";"FUR_4"
"Moldova";"4471-3981m";"156780-gq14z";"African swine fever virus (Inf. with)";NaN;"26.5.2022";"Recurrence of an eradicated disease";"Validated";"29.8.2022";"FUR_9"
"Moldova";"4529-tb5h4";"156779-9oy0m";"African swine fever virus (Inf. with)";NaN;"12.7.2022";"Recurrence of an eradicated disease";"Validated";"29.8.2022";"FUR_5"
"Germany";"4469-llvoo";"156750-cgim9";"African swine fever virus (Inf. with)";NaN;"24.5.2022";"First occurrence in a zone or a compartment";"Validated";"25.8.2022";"FUR_1"
"Finland";"4500-1bw8i";"156728-hwf4t";"Infectious haematopoietic necrosis virus (Inf. with)";NaN;"8.6.2022";"Recurrence";"Validated";"24.8.2022";"FUR_9"
"Moldova";"4526-kiyh1";"156722-wwazb";"African swine fever virus (Inf. with)";NaN;"7.7.2022";"First occurrence in a zone or a compartment";"Validated";"24.8.2022";"FUR_5"
"Ukraine";"4496-1tyql";"156671-gobvi";"African swine fever virus (Inf. with)";NaN;"19.6.2022";"Recurrence of an eradicated disease";"Validated";"19.8.2022";"FUR_1"
"Albania";"3760-xc73t";"156631-rpinh";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"21.5.2021";"Recurrence of an eradicated disease";"Validated";"16.8.2022";"FUR_4"
"Albania";"4375-garku";"156629-lojfq";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"18.3.2022";"Recurrence of an eradicated strain";"Validated";"16.8.2022";"FUR_1"
"Spain";"4514-7by9d";"156585-ee1jp";"Newcastle disease virus (Inf. with)";NaN;"24.6.2022";"First occurrence in a zone or a compartment";"Validated";"12.8.2022";"FUR_2"
"Germany";"4306-s6fms";"156417-rzuav";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N2";"3.2.2022";"New strain in a zone or a compartment";"Validated";"29.7.2022";"FUR_1"
"Germany";"4270-mi2wk";"156416-zu0lq";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N3";"22.12.2021";"Recurrence of an eradicated strain";"Validated";"29.7.2022";"FUR_1"
"Romania";"4076-faiig";"156395-hiq9j";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"3.11.2021";"Recurrence of an eradicated disease";"Validated";"28.7.2022";"FUR_14"
"Austria";"4105-nalp8";"156341-eop65";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"23.11.2021";"Recurrence of an eradicated disease";"Validated";"26.7.2022";"FUR_13"
"Russia";"3988-gz368";"156358-ezbdg";"African swine fever virus (Inf. with)";NaN;"26.9.2021";"First occurrence in a zone or a compartment";"Validated";"25.7.2022";"FUR_3"
"Russia";"4387-k19o7";"156357-fuxgz";"African swine fever virus (Inf. with)";NaN;"23.3.2022";"Recurrence of an eradicated disease";"Validated";"25.7.2022";"FUR_1"
"Moldova";"4470-6x03k";"156346-73c4c";"African swine fever virus (Inf. with)";NaN;"25.5.2022";"First occurrence in a zone or a compartment";"Validated";"25.7.2022";"FUR_5"
"Moldova";"4456-wdc2h";"156344-tvc59";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"13.5.2022";"First occurrence in a zone or a compartment";"Validated";"25.7.2022";"FUR_5"
"Hungary";"4427-6etod";"156237-dtqqa";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"19.4.2022";"Recurrence of an eradicated disease";"Validated";"18.7.2022";"FUR_12"
"Hungary";"4488-k6oc4";"156236-q42uz";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"7.6.2022";"Recurrence of an eradicated disease";"Validated";"18.7.2022";"FUR_5"
"Hungary";"4454-vy3af";"156235-osqwt";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"10.5.2022";"Recurrence of an eradicated disease";"Validated";"18.7.2022";"FUR_7"
"Hungary";"4418-x16tm";"156233-ikh10";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"17.4.2022";"Recurrence of an eradicated disease";"Validated";"18.7.2022";"FUR_11"
"Hungary";"4411-fh1b5";"156230-lehg7";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"13.4.2022";"Recurrence of an eradicated disease";"Validated";"18.7.2022";"FUR_14"
"Russia";"4433-sfnwo";"156197-rhhjc";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"15.4.2022";"First occurrence in a zone or a compartment";"Validated";"14.7.2022";"FUR_1"
"Russia";"4453-74q7p";"156194-mnuri";"African swine fever virus (Inf. with)";NaN;"7.5.2022";"Recurrence of an eradicated disease";"Validated";"14.7.2022";"FUR_1"
"United Kingdom";"3754-hnnki";"156171-ed0zk";"Taylorella equigenitalis (Inf. with) (Contagious equine metritis)";NaN;"8.6.2021";"Recurrence of an eradicated disease";"Validated";"12.7.2022";"FUR_52"
"Germany";"4491-jlmdc";"156169-fuybw";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"2.6.2022";"Recurrence of an eradicated disease";"Validated";"12.7.2022";"FUR_1"
"Germany";"4083-r52hh";"156168-22hbm";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"17.11.2021";"Recurrence of an eradicated disease";"Validated";"12.7.2022";"FUR_8"
"Switzerland";"4108-hp7aq";"156135-coyzp";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"23.11.2021";"Recurrence of an eradicated disease";"Validated";"8.7.2022";"FUR_4"
"Switzerland";"4351-dbbop";"156134-tt4hm";"Newcastle disease virus (Inf. with)";NaN;"14.3.2022";"Recurrence of an eradicated disease";"Validated";"8.7.2022";"FUR_1"
"Romania";"3744-g80xo";"156133-x6avg";"Spring viraemia of carp virus (Inf. with)";NaN;"19.4.2021";"Recurrence";"Validated";"8.7.2022";"FUR_1"
"Romania";"4358-okw4w";"156131-vlz7p";"Viral haemorrhagic septicaemia virus (Inf. with)";NaN;"11.3.2022";"Recurrence";"Validated";"8.7.2022";"FUR_1"
"Denmark";"3231-u7dnl";"156065-45g6o";"Taylorella equigenitalis (Inf. with) (Contagious equine metritis)";NaN;"24.6.2020";"Recurrence of an eradicated disease";"Validated";"6.7.2022";"FUR_4"
"Spain";"3945-zhg7s";"156074-pdam0";"SARS-CoV-2 in animals (Inf. with)";NaN;"25.8.2021";"Emerging disease";"Validated";"5.7.2022";"FUR_1"
"Denmark";"4211-0yumh";"156062-aqzfq";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N8";"13.12.2021";"Recurrence of an eradicated strain";"Validated";"4.7.2022";"FUR_2"
"Russia";"4441-0usbh";"156039-s47d4";"African swine fever virus (Inf. with)";NaN;"5.5.2022";"Recurrence of an eradicated disease";"Validated";"1.7.2022";"FUR_1"
"Russia";"4401-3o090";"156038-owrgc";"African swine fever virus (Inf. with)";NaN;"7.4.2022";"Recurrence of an eradicated disease";"Validated";"1.7.2022";"FUR_1"
"Slovakia";"4467-j7bbq";"156031-499ye";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"24.5.2022";"Recurrence of an eradicated disease";"Validated";"1.7.2022";"FUR_2"
"Portugal";"4508-iblqp";"156012-lwuf5";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"22.6.2022";"Recurrence of an eradicated disease";"Validated";"29.6.2022";"IN"
"Portugal";"4148-tpiv1";"156011-ua3dp";"Bluetongue virus (Inf. with)";"4";"14.9.2021";"Recurrence of an eradicated disease";"Validated";"29.6.2022";"FUR_1"
"Portugal";"4149-qu5dw";"156010-inejs";"Bluetongue virus (Inf. with)";"4";"12.9.2021";"Recurrence of an eradicated disease";"Validated";"29.6.2022";"FUR_1"
"Portugal";"4150-jwhb8";"156009-2tf0e";"Bluetongue virus (Inf. with)";"4";"17.9.2021";"Recurrence of an eradicated disease";"Validated";"29.6.2022";"FUR_1"
"Portugal";"4153-p2i1m";"156008-hngdr";"Bluetongue virus (Inf. with)";"4";"13.10.2021";"Recurrence of an eradicated disease";"Validated";"29.6.2022";"FUR_1"
"Portugal";"4146-qtmew";"156007-t0566";"Bluetongue virus (Inf. with)";"4";"20.8.2021";"Recurrence of an eradicated disease";"Validated";"29.6.2022";"FUR_1"
"Finland";"4495-p5n8j";"156004-wgv81";"Equine influenza virus (Inf. with)";"H3N8";"2.6.2022";"Recurrence of an eradicated disease";"Validated";"29.6.2022";"FUR_2"
"Poland";"4050-ibezg";"155888-rjzaz";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"3.11.2021";"Recurrence of an eradicated disease";"Validated";"21.6.2022";"FUR_20"
"Poland";"4047-d4ncy";"155887-t7tpm";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"1.11.2021";"Recurrence of an eradicated disease";"Validated";"21.6.2022";"FUR_15"
"Poland";"4183-fbbzv";"155886-4nuwu";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"5.12.2021";"Recurrence of an eradicated disease";"Validated";"21.6.2022";"FUR_9"
"Poland";"4341-385ul";"155885-q88ji";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N2";"28.2.2022";"New strain in the country";"Validated";"21.6.2022";"FUR_2"
"Poland";"4055-rr3sr";"155884-6zn79";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"5.11.2021";"Recurrence of an eradicated disease";"Validated";"21.6.2022";"FUR_11"
"Russia";"4372-folc2";"155838-ibdi4";"African swine fever virus (Inf. with)";NaN;"20.3.2022";"Recurrence of an eradicated disease";"Validated";"16.6.2022";"FUR_1"
"Ireland";"4049-vafge";"155817-mv3gb";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"29.10.2021";"New strain in the country";"Validated";"14.6.2022";"FUR_24"
"Sweden";"4410-owa97";"155814-e4v7e";"Newcastle disease virus (Inf. with)";NaN;"22.3.2022";"Recurrence of an eradicated disease";"Validated";"14.6.2022";"FUR_2"
"Moldova";"4293-6blby";"155407-8c6u3";"African swine fever virus (Inf. with)";NaN;"17.1.2022";"Recurrence of an eradicated disease";"Validated";"6.6.2022";"FUR_9"
"Moldova";"4207-715p6";"155721-23c65";"African swine fever virus (Inf. with)";NaN;"29.12.2021";"Recurrence of an eradicated disease";"Validated";"6.6.2022";"FUR_15"
"Greece";"4165-i0ebw";"155718-3afgs";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"6.12.2021";"Recurrence of an eradicated disease";"Validated";"6.6.2022";"FUR_7"
"Norway";"4069-gkz6x";"155493-4yfrb";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"10.11.2021";"New strain in the country";"Validated";"25.5.2022";"FUR_4"
"Spain";"4252-28spo";"154955-1kgu6";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"13.1.2022";"First occurrence in a zone or a compartment";"Validated";"20.5.2022";"FUR_10"
"Germany";"4140-pv3fh";"155483-p9d31";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"1.12.2021";"Recurrence of an eradicated disease";"Validated";"19.5.2022";"FUR_3"
"Germany";"4027-63lr4";"155482-wgwm0";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"22.10.2021";"Recurrence of an eradicated disease";"Validated";"19.5.2022";"FUR_8"
"Germany";"4168-ikan2";"155481-fbg2g";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"9.12.2021";"Recurrence of an eradicated disease";"Validated";"19.5.2022";"FUR_4"
"Germany";"4071-bh9bm";"155480-ct3pk";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"8.11.2021";"Recurrence of an eradicated disease";"Validated";"19.5.2022";"FUR_12"
"Germany";"4059-isnos";"155479-3cwhj";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"6.11.2021";"Recurrence of an eradicated disease";"Validated";"19.5.2022";"FUR_8"
"Germany";"4039-ab7gf";"155478-etnm3";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"29.10.2021";"Recurrence of an eradicated disease";"Validated";"19.5.2022";"FUR_6"
"Germany";"4139-x145i";"155477-3cbhh";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"30.11.2021";"Recurrence of an eradicated disease";"Validated";"19.5.2022";"FUR_5"
"Belgium";"2848-wpxly";"155431-w35u2";"Bluetongue virus (Inf. with)";"8";"14.2.2019";"Recurrence of an eradicated disease";"Validated";"18.5.2022";"FUR_23"
"North Macedonia";"4336-1gyxp";"155456-vdq46";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"17.2.2022";"First occurrence in a zone or a compartment";"Validated";"18.5.2022";"FUR_2"
"North Macedonia";"4329-eet4p";"155454-xc35o";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"4.2.2022";"First occurrence in a zone or a compartment";"Validated";"18.5.2022";"FUR_1"
"Czech Republic";"4052-8eowj";"155448-n1wm2";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"1.11.2021";"Recurrence of an eradicated disease";"Validated";"17.5.2022";"FUR_18"
"Belgium";"4385-wvz62";"155426-ov0v7";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"28.3.2022";"Recurrence of an eradicated disease";"Validated";"17.5.2022";"FUR_1"
"Germany";"3957-wlp3f";"155417-terkx";"West Nile Fever";NaN;"16.4.2021";"Recurrence of an eradicated disease";"Validated";"16.5.2022";"FUR_1"
"Czech Republic";"4457-upmux";"155415-vk6lo";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"3.1.2022";"Recurrence of an eradicated disease";"Validated";"16.5.2022";"IN"
"Bulgaria";"4449-1ceo8";"155409-y4qd4";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"Untyped or partially typed";"4.5.2022";"First occurrence in a zone or a compartment";"Validated";"16.5.2022";"FUR_1"
"Bulgaria";"4435-e9eyc";"155406-rvmm5";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"Untyped or partially typed";"27.4.2022";"Recurrence of an eradicated disease";"Validated";"16.5.2022";"FUR_3"
"Bulgaria";"4434-1x0yw";"155405-59xbi";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"Untyped or partially typed";"21.4.2022";"Recurrence of an eradicated disease";"Validated";"16.5.2022";"FUR_1"
"Bulgaria";"4419-3rq8e";"155404-j36ge";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"Untyped or partially typed";"14.4.2022";"Recurrence of an eradicated disease";"Validated";"16.5.2022";"FUR_1"
"Germany";"3297-pl3ko";"155359-492ja";"West Nile Fever";NaN;"19.8.2020";"Recurrence of an eradicated disease";"Validated";"12.5.2022";"FUR_3"
"Germany";"3244-n9r74";"155358-y8pht";"West Nile Fever";NaN;"13.7.2020";"Recurrence of an eradicated disease";"Validated";"12.5.2022";"FUR_12"
"Germany";"4001-0elcl";"155357-xq5af";"West Nile Fever";NaN;"9.8.2021";"Recurrence of an eradicated disease";"Validated";"12.5.2022";"FUR_1"
"Germany";"3281-tswx0";"155356-mzi6q";"West Nile Fever";NaN;"11.8.2020";"Recurrence of an eradicated disease";"Validated";"12.5.2022";"FUR_9"
"Portugal";"4214-g7mkh";"155355-aq2se";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"1.1.2022";"Recurrence of an eradicated disease";"Validated";"12.5.2022";"FUR_1"
"Portugal";"4208-tndll";"155352-u7npj";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"28.12.2021";"Recurrence of an eradicated disease";"Validated";"12.5.2022";"FUR_6"
"Portugal";"4197-y8gae";"155351-pr4a1";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"22.12.2021";"Recurrence of an eradicated disease";"Validated";"12.5.2022";"FUR_1"
"Portugal";"4216-bthji";"155354-v0atk";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"30.12.2021";"Recurrence of an eradicated disease";"Validated";"12.5.2022";"FUR_9"
"Spain";"4018-hk91u";"155335-40i35";"SARS-CoV-2 in animals (Inf. with)";NaN;"7.10.2021";"Emerging disease";"Validated";"11.5.2022";"FUR_1"
"Slovakia";"4098-q6hlw";"155334-na57w";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"24.11.2021";"Recurrence of an eradicated disease";"Validated";"11.5.2022";"FUR_11"
"Slovakia";"4097-u5zzq";"155333-7he54";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"24.11.2021";"Recurrence of an eradicated disease";"Validated";"11.5.2022";"FUR_9"
"Latvia";"3687-9r73v";"155325-3jlxj";"SARS-CoV-2 in animals (Inf. with)";NaN;"9.4.2021";"Emerging disease";"Validated";"10.5.2022";"FUR_54"
"Russia";"4332-1hg0d";"155261-a6bk1";"African swine fever virus (Inf. with)";NaN;"15.2.2022";"Recurrence of an eradicated disease";"Validated";"6.5.2022";"FUR_1"
"France";"3985-112cu";"155255-k2cnr";"Aujeszky's disease virus (Inf. with)";NaN;"28.9.2021";"Recurrence of an eradicated disease";"Validated";"6.5.2022";"FUR_11"
"Croatia";"4092-q0gom";"155254-e1prz";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"12.11.2021";"New strain in a zone or a compartment";"Validated";"6.5.2022";"FUR_8"
"Romania";"4365-jjyh6";"155251-4uhxq";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"17.3.2022";"Recurrence of an eradicated disease";"Validated";"6.5.2022";"FUR_2"
"Finland";"4431-wr27k";"155237-839el";"Theileria equi and Babesia caballi (Inf. with) (Equine piroplasmosis)";NaN;"11.3.2022";"Recurrence of an eradicated disease";"Validated";"4.5.2022";"FUR_1"
"Iceland";"4439-ghow5";"155234-imhyc";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"15.4.2022";"Recurrence of an eradicated disease";"Validated";"4.5.2022";"IN"
"Lithuania";"3420-plyn5";"155203-k2ucq";"SARS-CoV-2 in animals (Inf. with)";NaN;"26.11.2020";"Emerging disease";"Validated";"3.5.2022";"FUR_8"
"Russia";"4366-su1nd";"155186-a4930";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5 (N untyped)";"15.3.2022";"Recurrence of an eradicated disease";"Validated";"29.4.2022";"FUR_2"
"Moldova";"3085-7hjen";"155090-uqclf";"African swine fever virus (Inf. with)";NaN;"17.12.2019";"First occurrence in a zone or a compartment";"Validated";"21.4.2022";"FUR_78"
"Moldova";"3142-h7pwt";"155089-fav2o";"African swine fever virus (Inf. with)";NaN;"20.2.2020";"First occurrence in a zone or a compartment";"Validated";"21.4.2022";"FUR_71"
"Moldova";"3178-5uj68";"155088-ulj77";"African swine fever virus (Inf. with)";NaN;"7.4.2020";"First occurrence in a zone or a compartment";"Validated";"21.4.2022";"FUR_61"
"Ukraine";"4272-w70ch";"155076-r1u1u";"African swine fever virus (Inf. with)";NaN;"17.1.2022";"Recurrence of an eradicated disease";"Validated";"20.4.2022";"FUR_1"
"Bulgaria";"4421-sqt5f";"155070-bw43f";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"Untyped or partially typed";"8.4.2022";"First occurrence in a zone or a compartment";"Validated";"20.4.2022";"IN"
"Bulgaria";"4420-5vqs2";"155068-nbpmi";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"Untyped or partially typed";"8.4.2022";"Recurrence of an eradicated disease";"Validated";"20.4.2022";"IN"
"Denmark";"4412-ostf1";"155011-hprx7";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N8";"30.9.2021";"Unusual host species";"Validated";"19.4.2022";"IN"
"Spain";"4024-mjb9w";"155042-0uiyh";"SARS-CoV-2 in animals (Inf. with)";NaN;"13.10.2021";"Emerging disease";"Validated";"18.4.2022";"FUR_2"
"Spain";"3876-4c62v";"155041-75nmo";"SARS-CoV-2 in animals (Inf. with)";NaN;"11.8.2021";"Emerging disease";"Validated";"18.4.2022";"FUR_1"
"Spain";"3818-j3z6h";"155040-5s6xe";"SARS-CoV-2 in animals (Inf. with)";NaN;"7.7.2021";"Emerging disease";"Validated";"18.4.2022";"FUR_1"
"Spain";"3795-n4w9t";"155036-9u4io";"SARS-CoV-2 in animals (Inf. with)";NaN;"28.6.2021";"Emerging disease";"Validated";"18.4.2022";"FUR_1"
"Spain";"3838-0jj8n";"154262-lzkbm";"Bluetongue virus (Inf. with)";"4";"23.6.2021";"Recurrence of an eradicated disease";"Validated";"18.4.2022";"FUR_1"
"Russia";"3977-wanpw";"155027-idl08";"African swine fever virus (Inf. with)";NaN;"26.9.2021";"First occurrence in a zone or a compartment";"Validated";"15.4.2022";"FUR_8"
"Croatia";"4245-ajdks";"155006-vlwv4";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"10.1.2022";"Recurrence of an eradicated disease";"Validated";"14.4.2022";"FUR_1"
"Ukraine";"4312-vfi0n";"154995-ehwzg";"African swine fever virus (Inf. with)";NaN;"8.2.2022";"Recurrence of an eradicated disease";"Validated";"13.4.2022";"FUR_1"
"Bulgaria";"4280-ims8z";"154963-n3y3y";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"Untyped or partially typed";"24.1.2022";"First occurrence in a zone or a compartment";"Validated";"12.4.2022";"FUR_1"
"Bulgaria";"4206-foo35";"154962-6k1ul";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"Untyped or partially typed";"29.12.2021";"Recurrence of an eradicated disease";"Validated";"12.4.2022";"FUR_3"
"Bulgaria";"4138-skf17";"154961-cd62c";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"15.11.2021";"Recurrence of an eradicated disease";"Validated";"12.4.2022";"FUR_2"
